Rank,Title,Genre,Score
1,Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Action, Drama, Suspense",9.17
2,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy",9.11
3,Bleach: Sennen Kessen-hen,"Action, Adventure, Fantasy",9.09
4,Steins;Gate,"Drama, Sci-Fi, Suspense",9.08
5,Gintama°,"Action, Comedy, Sci-Fi",9.07
6,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy, Romance",9.06
7,Shingeki no Kyojin Season 3 Part 2,"Action, Drama",9.06
8,Gintama: The Final,"Action, Comedy, Drama, Sci-Fi",9.05
9,Gintama',"Action, Comedy, Sci-Fi",9.04
10,Hunter x Hunter (2011),"Action, Adventure, Fantasy",9.04
11,Ginga Eiyuu Densetsu,"Drama, Sci-Fi",9.03
12,Gintama': Enchousen,"Action, Comedy, Sci-Fi",9.03
13,Fruits Basket: The Final,"Drama, Romance, Supernatural",9.01
14,Gintama.,"Action, Comedy, Sci-Fi",8.99
15,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"Comedy, Drama, Romance",8.95
16,3-gatsu no Lion 2nd Season,"Drama, Slice of Life",8.94
17,Clannad: After Story,"Drama, Romance, Supernatural",8.94
18,Gintama,"Action, Comedy, Sci-Fi",8.94
19,Koe no Katachi,"Award Winning, Drama",8.94
20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Sci-Fi",8.92
21,Bocchi the Rock!,Comedy,8.91
22,Code Geass: Hangyaku no Lelouch R2," Action, Award Winning, Drama, Sci-Fi",8.91
23,Violet Evergarden Movie,"Award Winning, Drama, Fantasy",8.91
24,Owarimonogatari 2nd Season,"Comedy, Mystery, Supernatural",8.89
25,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"Action, Comedy, Sci-Fi",8.88
26,Monster,"Drama, Mystery, Suspense",8.86
27,Kimi no Na wa.,"Award Winning, Drama, Supernatural",8.85
28,Gintama.: Shirogane no Tamashii-hen,"Action, Comedy, Sci-Fi",8.81
29,Kimetsu no Yaiba: Yuukaku-hen,"Action, Fantasy",8.81
30,Kingdom 3rd Season,Action,8.81
31,Mob Psycho 100 II,"Action, Comedy, Supernatural",8.8
32,Shingeki no Kyojin: The Final Season,"Action, Drama",8.8
33,Kizumonogatari III: Reiketsu-hen,"Action, Mystery, Supernatural",8.79
34,Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Supernatural",8.78
35,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Sports,8.78
36,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural",8.77
37,Shingeki no Kyojin: The Final Season Part 2,"Action, Drama",8.77
38,Shiguang Dailiren,"Drama, Supernatural",8.75
39,Cowboy Bebop,"Action, Award Winning, Sci-Fi",8.75
40,Hajime no Ippo,Sports,8.75
41,Kingdom 4th Season,Action,8.75
42,Mob Psycho 100 III,"Action, Comedy, Supernatural",8.74
43,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",8.73
44,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Drama,8.73
45,Vinland Saga,"Action, Adventure, Drama",8.73
46,Vinland Saga Season 2,"Action, Adventure, Drama",8.71
47,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Drama, Fantasy, Ecchi",8.71
48,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",8.71
49,86 Part 2,"Action, Drama, Sci-Fi",8.71
50,Ashita no Joe 2,"Drama, Sports",8.71
51,Code Geass: Hangyaku no Lelouch,"Action, Award Winning, Drama, Sci-Fi",8.7
52,Mushishi Zoku Shou,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",8.7
53,Odd Taxi,"Award Winning, Mystery",8.7
54,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Action, Fantasy, Supernatural",8.69
55,Great Teacher Onizuka,"Comedy, Drama",8.69
56,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,"Action, Adventure, Supernatural",8.68
57,Made in Abyss: Retsujitsu no Ougonkyou,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.68
58,One Piece,"Action, Adventure, Fantasy",8.68
59,Mononoke Hime,"Action, Adventure, Award Winning, Fantasy",8.67
60,Violet Evergarden,"Drama, Fantasy",8.67
61,Made in Abyss,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.66
62,Mushishi,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",8.66
63,Spy x Family,"Action, Award Winning, Comedy",8.66
64,Hajime no Ippo: New Challenger,Sports,8.66
65,Howl no Ugoku Shiro,"Adventure, Award Winning, Drama, Fantasy, Romance",8.66
66,Jujutsu Kaisen,"Action, Award Winning, Fantasy",8.65
67,Natsume Yuujinchou Shi,"Drama, Slice of Life, Supernatural",8.65
68,Shigatsu wa Kimi no Uso,"Drama, Romance",8.65
69,Bungou Stray Dogs 4th Season,"Action, Mystery, Supernatural",8.64
70,Haikyuu!! Second Season,Sports,8.64
71,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Comedy,8.64
72,Chainsaw Man,"Action, Fantasy",8.63
73,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Action, Fantasy",8.63
74,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.63
75,Suzume no Tojimari,Fantasy,8.63
76,Tengen Toppa Gurren Lagann,"Action, Adventure, Award Winning, Sci-Fi",8.63
77,Mo Dao Zu Shi: Wanjie Pian,"Action, Adventure, Drama, Fantasy, Mystery",8.62
78,Natsume Yuujinchou Roku,"Drama, Slice of Life, Supernatural",8.62
